id,test,category,question,option_a,option_b,option_c,option_d,answer,explanation
1,4,Values and Principles,How many questions are asked in the official Life in the UK test?,30,45,20,24,D,"The official test consists of 24 multiple-choice questions drawn from the material in the official handbook for new residents. Candidates are given 45 minutes to complete them, which works out at just under two minutes per question, although most people finish well within the time allowed. The questions are selected at random by the testing software, so no two candidates sit exactly the same paper. Because the questions can come from any part of the syllabus, covering history, society, government and the law, there is no reliable way to revise selectively. The safest preparation is to read the whole handbook and then practise with question banks like this one until the facts become familiar."
2,3,Values and Principles,What percentage must you score to pass the Life in the UK test?,75 per cent,90 per cent,50 per cent,60 per cent,A,"The pass mark for the test is 75 per cent, which means answering at least 18 of the 24 questions correctly. You can therefore get six questions wrong and still pass. Results are given at the test centre shortly after the test finishes, and successful candidates receive a unique reference number that must be included with an application for settlement or naturalisation. There is no limit on the number of times the test may be retaken, but each attempt has to be booked and paid for separately, and there is a waiting period between attempts. Because the fee is not refundable, thorough preparation before the first sitting usually saves both money and time."
3,10,Values and Principles,How long are candidates given to complete the Life in the UK test?,60 minutes,30 minutes,90 minutes,45 minutes,D,"Candidates have 45 minutes to answer the 24 multiple-choice questions that make up the test. The test is taken on a computer at a registered test centre, and the software keeps track of the remaining time on screen. Most candidates who have prepared properly find the time generous, since each question needs only the recall of a single fact. Anyone who is unsure of an answer can move on and return to it before submitting, so it is sensible not to spend too long on any one question. The result is calculated immediately once the test is submitted, and staff at the centre hand out a printed notification letter confirming whether the candidate has passed."
4,37,Values and Principles,Which document is the Life in the UK test based on?,The British Citizenship Handbook,The Highway Code,The Immigration Rules,Life in the United Kingdom: A Guide for New Residents,D,"All of the questions in the official test are taken from the Home Office publication 'Life in the United Kingdom: A Guide for New Residents'. The handbook covers the values and principles of British life, the make-up of the United Kingdom, a long sweep of British history, modern British society and culture, and the workings of government and the law. Questions are set only on material that appears in the handbook, so candidates do not need to research beyond it, though a good general awareness certainly helps. The guide is published in printed and digital formats and is periodically updated, so it is important to revise from the current edition rather than an older copy that may contain outdated information."
5,28,Values and Principles,Which of these is one of the fundamental principles of British life listed in the official handbook?,Compulsory military service,The rule of law,State ownership of the press,Mandatory church attendance,B,"The handbook sets out several fundamental principles that underpin life in Britain: democracy, the rule of law, individual liberty, tolerance of those with different faiths and beliefs, and participation in community life. The rule of law means that everyone, including those who govern, is subject to the same laws and that nobody is above them. These principles are not merely decorative statements; they shape the rights people enjoy and the duties they owe to one another. Applicants for settlement or citizenship are expected to understand and respect them, and the citizenship pledge refers directly to upholding the country's democratic values. Compulsory military service and compulsory religious observance form no part of modern British life."
6,39,Values and Principles,Which of these is listed in the handbook as a responsibility of everyone living in the UK?,Joining a registered political party,Attending a place of worship weekly,Looking after the area in which you live and the environment,Reporting your neighbours' opinions to the police,C,"Alongside the rights it describes, the handbook lists responsibilities that everyone permanently settled in the United Kingdom is expected to accept. These include respecting and obeying the law, respecting the rights of others including their right to hold their own opinions, treating others with fairness, looking after yourself and your family, and looking after the area in which you live and the environment. None of these obliges anyone to hold particular beliefs or to join any organisation. Joining a political party or attending a place of worship is entirely a matter of personal choice, protected by the freedoms of belief and association that the same chapter of the handbook describes."
7,29,Values and Principles,"At a citizenship ceremony, to whom do new citizens swear or affirm allegiance?",The Prime Minister,The monarch,Parliament,The Speaker of the House of Commons,B,"New citizens who take the oath swear by Almighty God, or solemnly and sincerely affirm if they prefer not to swear on a religious text, that they will be faithful and bear true allegiance to the monarch, his or her heirs and successors, according to law. The oath is made to the sovereign as head of state rather than to any politician or political institution, which reflects the constitutional position of the Crown as a symbol of national continuity standing above party politics. Both the religious oath and the secular affirmation carry exactly the same legal weight, so nobody is required to make a religious declaration against their conscience in order to become a British citizen."
8,7,Values and Principles,"In addition to the oath or affirmation of allegiance, what else do new citizens make at a citizenship ceremony?",A promise to vote in every election,A declaration of their annual income,A donation to a local charity,A pledge of loyalty to the United Kingdom,D,"As well as swearing or affirming allegiance to the monarch, new citizens give a pledge of loyalty to the United Kingdom. In it they promise to respect the country's rights and freedoms, to uphold its democratic values, to observe its laws faithfully and to fulfil their duties and obligations as British citizens. The two statements together express the twin ideas of loyalty to the head of state and commitment to the country's democratic institutions. Ceremonies are usually arranged by the local authority and are often attended by family and friends; the new citizen receives a certificate of British citizenship. Nobody is asked to donate money, disclose their income, or promise to vote at any particular election."
9,6,Values and Principles,Which body usually organises citizenship ceremonies?,The local authority,The local police force,The Church of England,The Home Office in London,A,"Citizenship ceremonies are normally arranged by the local authority for the area in which the new citizen lives, and they typically take place in a register office, town hall or civic building. Applicants are invited to attend a ceremony after their application for naturalisation has been approved, and they are usually allowed to bring guests. During the ceremony the oath or affirmation and the pledge are made in the presence of a dignitary, often the mayor or a local registrar, and a certificate of British citizenship is presented. The national anthem is generally played. Although the Home Office decides citizenship applications, the ceremony itself is a local civic occasion that marks the point at which citizenship formally takes effect."
10,34,Values and Principles,"Which of these freedoms does the UK offer to those who live there, according to the handbook?",Freedom from paying any tax,Freedom to ignore court judgments,Freedom from all criminal prosecution,Freedom of speech,D,"The handbook lists a number of freedoms that the United Kingdom offers to those who make their home there. They include freedom of belief and religion, freedom of speech, freedom from unfair discrimination, a right to a fair trial and a right to join in the election of a government. Freedom of speech allows people to express opinions and to criticise the government openly, though it does not extend to inciting violence or hatred, and it is limited by laws on matters such as defamation. None of the freedoms described releases anybody from paying lawfully due taxes, from obeying the judgments of the courts, or from being prosecuted where there is evidence of a criminal offence."
